CL	Count
RERF-GC-1B_COSMIC	429
RERF-LC-FM_COSMIC	797
RERF-LC-KJ_COSMIC	539
RERF-LC-MS_COSMIC	364
RERF-LC-SQ1_COSMIC	467
RF-48_COSMIC	378
RH-18_COSMIC	401
RH-1_COSMIC	317
RH-41_COSMIC	238
RKN_COSMIC	447
RKO_COSMIC	3374
RL95-2_COSMIC	3068
RL_COSMIC	462
RMG-I_COSMIC	460
RO82-W-1_COSMIC	227
ROS-50_COSMIC	295
RPMI-2650_COSMIC	189
RPMI-6666_COSMIC	193
RPMI-7951_COSMIC	347
RPMI-8226_COSMIC	587
RPMI-8402_COSMIC	619
RPMI-8866_COSMIC	650
RS4-11_COSMIC	1440
RT-112_COSMIC	297
RT4_COSMIC	280
RVH-421_COSMIC	457
RXF393_COSMIC	291
S-117_COSMIC	311
SAOS-2_COSMIC	398
SARC9371_COSMIC	4144
SAS_COSMIC	612
SAT_COSMIC	503
SBC-1_COSMIC	759
SBC-3_COSMIC	544
SBC-5_COSMIC	624
SC-1_COSMIC	250
SCABER_COSMIC	525
SCC-15_COSMIC	264
SCC-25_COSMIC	230
SCC-3_COSMIC	579
SCC-4_COSMIC	297
SCC-9_COSMIC	320
SCC90_COSMIC	373
SCH_COSMIC	607
SET2_COSMIC	492
SF126_COSMIC	353
SF268_COSMIC	316
SF295_COSMIC	346
SF539_COSMIC	294
SH-4_COSMIC	416
SHP-77_COSMIC	699
SIG-M5_COSMIC	287
SIHA_COSMIC	538
SIMA_COSMIC	252
SISO_COSMIC	499
SJRH30_COSMIC	400
SJSA-1_COSMIC	408
SK-CO-1_COSMIC	323
SK-ES-1_COSMIC	206
SK-GT-2_COSMIC	483
SK-GT-4_COSMIC	297
SK-HEP-1_COSMIC	239
SK-LMS-1_COSMIC	209
SK-LU-1_COSMIC	619
SK-MEL-1_COSMIC	336
SK-MEL-24_COSMIC	643
SK-MEL-28_COSMIC	532
SK-MEL-2_COSMIC	1067
SK-MEL-30_COSMIC	706
SK-MEL-31_COSMIC	577
SK-MEL-3_COSMIC	392
SK-MEL-5_COSMIC	743
SK-MES-1_COSMIC	552
SK-MG-1_COSMIC	420
SK-MM-2_COSMIC	354
SK-N-AS_COSMIC	309
SK-N-DZ_COSMIC	343
SK-N-FI_COSMIC	339
SK-N-SH_COSMIC	221
SK-NEP-1_COSMIC	158
SK-OV-3_COSMIC	623
SK-PN-DW_COSMIC	274
SK-UT-1_COSMIC	2318
SKG-IIIA_COSMIC	575
SKM-1_COSMIC	495
SKN-3_COSMIC	575
SKN_COSMIC	589
SLVL_COSMIC	705
SN12C_COSMIC	865
SNB75_COSMIC	276
SNG-M_COSMIC	2587
SNU-1040_COSMIC	21694
SNU-175_COSMIC	7069
SNU-182_COSMIC	479
SNU-283_COSMIC	548
SNU-387_COSMIC	487
SNU-398_COSMIC	426
SNU-407_COSMIC	3221
SNU-423_COSMIC	442
SNU-449_COSMIC	492
SNU-475_COSMIC	557
SNU-61_COSMIC	502
SNU-81_COSMIC	9761
SNU-C1_COSMIC	648
SNU-C2B_COSMIC	3082
SNU-C5_COSMIC	3660
SR_COSMIC	236
ST486_COSMIC	337
STS-0421_COSMIC	307
SU-DHL-10_COSMIC	278
SU-DHL-16_COSMIC	324
SU-DHL-1_COSMIC	562
SU-DHL-4_COSMIC	349
SU-DHL-5_COSMIC	448
SU-DHL-6_COSMIC	484
SU-DHL-8_COSMIC	491
SU8686_COSMIC	256
SUIT-2_COSMIC	544
SUP-B15_COSMIC	262
SUP-B8_COSMIC	221
SUP-HD1_COSMIC	2165
SUP-M2_COSMIC	284
SUP-T1_COSMIC	2993
SW1088_COSMIC	263
SW1116_COSMIC	384
SW1271_COSMIC	1223
SW13_COSMIC	520
SW1417_COSMIC	310
SW1463_COSMIC	315
SW156_COSMIC	551
SW1573_COSMIC	373
SW1710_COSMIC	362
SW1783_COSMIC	785
SW1990_COSMIC	243
SW403_COSMIC	179
SW48_COSMIC	2793
SW620_COSMIC	708
SW626_COSMIC	241
SW684_COSMIC	7044
SW756_COSMIC	1054
SW780_COSMIC	277
SW837_COSMIC	302
SW872_COSMIC	411
SW900_COSMIC	506
SW948_COSMIC	511
SW954_COSMIC	267
SW962_COSMIC	306
SW982_COSMIC	730
T-24_COSMIC	260
T-T_COSMIC	626
T47D_COSMIC	252
T84_COSMIC	411
T98G_COSMIC	308
TALL-1_COSMIC	483
TASK1_COSMIC	451
TC-71_COSMIC	338
TC-YIK_COSMIC	551
TCCSUP_COSMIC	502
TE-10_COSMIC	518
TE-11_COSMIC	591
TE-12_COSMIC	484
TE-15_COSMIC	524
TE-1_COSMIC	576
TE-441-T_COSMIC	374
TE-4_COSMIC	1361
TE-5_COSMIC	648
